stiched_unstiched,avg_rating_tot_reviews,weight,title,url,gender,brand,material,image_urls,seller,cost,link,images,occasion,age_group,product_location,condition
,3.7/5 (1081 reviews),0.30 kg,Batman Vs Superman T-Shirt (Black),http://www.kaymu.com.np/batman-vs-superman-t-shirt-black-1680204.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-8381-4020861-1-zoom.jpg,abfancystore,Rs 750,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (263 reviews),0.60 kg,Pack Of 3 Plain T-Shirts for Men's,http://www.kaymu.com.np/pack-of-3-plain-t-shirts-for-mens-1663706.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2409-6073661-1-zoom.jpg,Bastra,"Rs 1,150",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (659 reviews),0.10 kg,ganesh print red tshirt,http://www.kaymu.com.np/ganesh-print-red-tshirt-1683468.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-6908-8643861-1-zoom.jpg,D2fancy,Rs 250,,,,,Bagmati - Kathmandu Inside Ring Road ,New
,3.5/5 (368 reviews),0.70 kg,Full Sleeve T-Neck T-Shirt With Buttons - Blue,http://www.kaymu.com.np/full-sleeve-t-neck-t-shirt-with-buttons-blue-1684265.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3101-5624861-1-zoom.jpg,shreeganeshfancy,"Rs 1,550",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (659 reviews),0.10 kg,Pack of 3 Round Neck T-shirts for Men,http://www.kaymu.com.np/pack-of-3-round-neck-t-shirts-for-men-1683690.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-6023-0963861-1-zoom.jpg,D2fancy,Rs 650,,,Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.7/5 (187 reviews),0.30 kg,White & Blue Men's Full Sleeve T-shirt,http://www.kaymu.com.np/white-blue-mens-full-sleeve-t-shirt-1678029.html,Men's,,Cotton,http://static.kaymu.com.np/p/h-m-6459-9208761-1-zoom.jpg,SixtysevenClothingStore,"Rs 1,150",,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.9/5 (159 reviews),0.30 kg,Armani Light Green Round Neck T-Shirt,http://www.kaymu.com.np/armani-light-green-round-neck-t-shirt-1666929.html,Men's,,Cotton,http://static.kaymu.com.np/p/emporio-armani-0023-9296661-1-zoom.jpg,BhutriClothingStore,Rs 899,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (263 reviews),0.25 kg,Plain Grey Round Neck T-Shirt,http://www.kaymu.com.np/plain-grey-round-neck-t-shirt-1663713.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2396-3173661-1-zoom.jpg,Bastra,Rs 399,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (30 reviews),0.30 kg,Chelsea The Blues Printed T-Shirt (White),http://www.kaymu.com.np/chelsea-the-blues-printed-t-shirt-white-1671500.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2366-0051761-1-zoom.jpg,CustomRUs,Rs 800,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (659 reviews),0.10 kg,Pack of 2 Round Neck T-shirts for Men,http://www.kaymu.com.np/pack-of-2-round-neck-t-shirts-for-men-1683684.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-5661-4863861-1-zoom.jpg,D2fancy,Rs 450,,,,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (263 reviews),0.50 kg,Pack Of 2 Cyan Blue & Navy Blue Plain V-Neck T-shirt for Men,http://www.kaymu.com.np/pack-of-2-cyan-blue-navy-blue-plain-v-neck-t-shirt-for-men-1682141.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3283-1412861-1-zoom.jpg,Bastra,Rs 849,,,Casual,,Bagmati - Kathmandu Inside Ring Road ,New
