stiched_unstiched,avg_rating_tot_reviews,weight,title,url,gender,brand,material,image_urls,seller,cost,images,occasion,age_group,product_location,condition
,3.5/5 (121 reviews),0.25 kg,Base Camp's Trekking T-Shirts - Orange,http://www.kaymu.com.np/base-camps-trekking-t-shirts-orange-269068.html,Unisex,Other,Other,http://static.kaymu.com.np/p/other-0970-860962-1-zoom.jpg,BaseCamp,Rs 790,"[{'url': 'http://static.kaymu.com.np/p/other-0970-860962-1-zoom.jpg', 'path': 'full/5d8262f33a722f62c11bcd3b900f288112230598.jpg', 'checksum': '1e39d10532873d79b24258ddd106017e'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (30 reviews),0.30 kg,Liverpool Printed T-Shirt (White),http://www.kaymu.com.np/liverpool-printed-t-shirt-white-1671493.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2302-3941761-1-zoom.jpg,CustomRUs,Rs 800,"[{'url': 'http://static.kaymu.com.np/p/other-2302-3941761-1-zoom.jpg', 'path': 'full/9c91bce74bf6e174b115647ad9c22decf29eac39.jpg', 'checksum': '26150f370fd4db330b8746f712b0029b'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.8/5 (1248 reviews),0.50 kg,Pack of 2 Grey & Blue V-Neck T-Shirt,http://www.kaymu.com.np/pack-of-2-grey-blue-v-neck-t-shirt-1675334.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2816-4335761-1-zoom.jpg,hardikfancycollection,Rs 799,"[{'url': 'http://static.kaymu.com.np/p/other-2816-4335761-1-zoom.jpg', 'path': 'full/69ce1dc0c218e5ddbb2352a3c8d0b60b80eb742f.jpg', 'checksum': '42bf565b84a424111b77d90354dad6b7'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (30 reviews),0.30 kg,Manchester United Printed T-Shirt (Black),http://www.kaymu.com.np/manchester-united-printed-t-shirt-black-1671490.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-2239-0941761-1-zoom.jpg,CustomRUs,Rs 800,"[{'url': 'http://static.kaymu.com.np/p/other-2239-0941761-1-zoom.jpg', 'path': 'full/7916d6b278b1bb1ddf5ccf861149ba842769d2a2.jpg', 'checksum': '02b0375485e3687d1c8b4aae2eeb70e9'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.7/5 (1081 reviews),0.30 kg,Black V-Neck T-Shirt,http://www.kaymu.com.np/black-v-neck-t-shirt-258714.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-1448-417852-1-zoom.jpg,abfancystore,Rs 970,"[{'url': 'http://static.kaymu.com.np/p/other-1448-417852-1-zoom.jpg', 'path': 'full/381e2795f7e11c2d3fc51ded7044df48868b09d2.jpg', 'checksum': '8f97ea3c362c55fd7ab66cb4e991508d'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,,0.60 kg,White Round Neck T-Shirt - England (Rooney),http://www.kaymu.com.np/white-round-neck-t-shirt-england-rooney-1684152.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-0356-2514861-1-zoom.jpg,Momentsclothing,Rs 800,"[{'url': 'http://static.kaymu.com.np/p/other-0356-2514861-1-zoom.jpg', 'path': 'full/97b2f3f70aee0585ff0ba5243436804e0fff05ab.jpg', 'checksum': '382e387f1a7c6e8730a37865f35cb6d2'}]",Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
,3.5/5 (370 reviews),0.25 kg,Nepal Flag Printed T-shirt,http://www.kaymu.com.np/nepal-flag-printed-t-shirt-266949.html,Men's,Other,Other,http://static.kaymu.com.np/p/other-2728-949662-1-zoom.jpg,shreeganeshfancy,Rs 765,"[{'url': 'http://static.kaymu.com.np/p/other-2728-949662-1-zoom.jpg', 'path': 'full/5c941b5650f24cf9b07534344f1aa7eb69436405.jpg', 'checksum': '9b394b20c2edde9f00dae9829972363f'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
,3.8/5 (1248 reviews),0.50 kg,Pack of 2 Valentine Sweet Couple T-Shirt - Green,http://www.kaymu.com.np/pack-of-2-valentine-sweet-couple-t-shirt-green-295866.html,Unisex,Other,Cotton,http://static.kaymu.com.np/p/other-2719-668592-1-zoom.jpg,hardikfancycollection,"Rs 1,500","[{'url': 'http://static.kaymu.com.np/p/other-2719-668592-1-zoom.jpg', 'path': 'full/42fbbc3794c57593365f10a2b2085dc3a0f41f5e.jpg', 'checksum': '445fdeb004a777fb538c661e01b54769'}]",Casual,More than 12 years,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,4/5 (54 reviews),0.30 kg,Green Buttoned V-Neck T-shirt,http://www.kaymu.com.np/green-buttoned-v-neck-t-shirt-1682060.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-3859-0602861-1-zoom.jpg,AnandaImportAndExport,Rs 725,"[{'url': 'http://static.kaymu.com.np/p/other-3859-0602861-1-zoom.jpg', 'path': 'full/07fa78df3366dd4087d20eedd8dcc100911cb199.jpg', 'checksum': '9d5a4e59810ec178854e6bef98215eb8'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
Stitched,3.9/5 (159 reviews),0.30 kg,Black V-Neck T-Shirt for Men's,http://www.kaymu.com.np/black-v-neck-t-shirt-for-mens-1666919.html,Men's,Other,Cotton,http://static.kaymu.com.np/p/other-9306-9196661-1-zoom.jpg,BhutriClothingStore,"Rs 1,099","[{'url': 'http://static.kaymu.com.np/p/other-9306-9196661-1-zoom.jpg', 'path': 'full/750d6d690dbe3060288616be0e14c05397b1eea2.jpg', 'checksum': 'e9ad788befabf1bc87cfd5f4874ebbd0'}]",Casual,,Bagmati - Kathmandu Inside Ring Road ,New
